ID,Description,Price
1,"Laptop, 16GB RAM",1299.99
2,"Wireless Mouse",29.99
3,"Mechanical Keyboard",89.99
4,"Monitor 24"" Full HD",199.99
5,"External HDD 1TB",79.99
6,"USB-C Docking Station",129.49
7,"Gaming Headset",59.99
8,"Office Chair",249.99
9,"Smartphone 128GB",799.99
10,"Bluetooth Speaker",49.99
11,"Graphics Card RTX 3060",349.99
12,"Ergonomic Mouse Pad",14.99
13,"4K UHD Monitor",499.99
14,"High-Speed HDMI Cable",9.99
15,"Mechanical Pencil",2.99
16,"Noise Cancelling Headphones",299.99
17,"Power Bank 20000mAh",39.99
18,"Wireless Earbuds",119.99
19,"USB Flash Drive 128GB",22.49
20,"Portable SSD 500GB",89.99
21,"Smartwatch Series 6",399.99
22,"Adjustable Standing Desk",499.99
23,"Laptop Stand",39.99
24,"External GPU Enclosure",279.99
25,"Surge Protector with USB",34.99
26,"Smart Light Bulb",12.99
27,"VR Headset",599.99
28,"Wireless Charging Pad",24.99
29,"Electric Scooter",899.99
30,"Dash Cam",79.99
31,"Graphics Tablet",179.99
32,"3D Printer",449.99
33,"Mechanical Gaming Mouse",59.99
34,"Compact Mechanical Keyboard",99.99
35,"Streaming Webcam",69.99
36,"Tripod Stand",29.99
37,"Microphone for Podcasting",149.99
38,"Wireless Presentation Remote",19.99
39,"Document Scanner",199.99
40,"High-Speed Portable SSD",139.99
41,"PC Case with RGB",109.99
42,"Liquid CPU Cooler",129.99
43,"PCIe NVMe SSD 1TB",149.99
44,"WiFi 6 Router",179.99
45,"External Blu-ray Drive",79.99
46,"Budget Gaming Mouse",29.99
47,"Premium Desk Lamp",49.99
48,"Ergonomic Keyboard Wrist Rest",19.99
49,"NAS Storage Server",599.99
50,"Smart Thermostat",249.99
51,"Compact Power Strip",21.99
52,"1080p Projector",399.99
53,"Standing Desk Converter",129.99
54,"Desktop Microphone",99.99
55,"Smart Doorbell Camera",199.99
56,"Noise-Isolating Earbuds",89.99
57,"Waterproof Bluetooth Speaker",59.99
58,"Laptop Cooling Pad",29.99
59,"Home Security Camera",149.99
60,"Smart Plug with Alexa",24.99
61,"Gaming Laptop",1499.99
62,"Wireless Keyboard and Mouse",69.99
63,"Robot Vacuum Cleaner",299.99
64,"Mechanical RGB Keyboard",109.99
65,"Compact Wireless Mouse",34.99
66,"USB Hub 10 Ports",49.99
67,"Ultrawide Monitor 34 Inch",699.99
68,"Portable Charger 10000mAh",29.99
69,"Smart Ceiling Fan",199.99
70,"Wireless HDMI Adapter",79.99
71,"Smartphone Gimbal",119.99
72,"Smart Alarm Clock",49.99
73,"Smart Home Hub",129.99
74,"Cordless Vacuum Cleaner",249.99
75,"1080p Video Capture Card",179.99
76,"High-Fidelity Soundbar",349.99
77,"4K Smart TV 55 Inch",899.99
78,"WiFi Mesh System",299.99
79,"Budget Wireless Earbuds",39.99
80,"Ergonomic Laptop Backpack",59.99
81,"Noise-Isolating Gaming Headset",89.99
82,"USB Condenser Microphone",139.99
83,"Fingerprint Smart Lock",199.99
84,"Bike Computer with GPS",169.99
85,"Wireless Surround Sound System",599.99
86,"Raspberry Pi 4 Model B",79.99
87,"Mechanical Gaming Chair",349.99
88,"Portable Air Conditioner",349.99
89,"Foldable Solar Panel",149.99
90,"Smart Exercise Bike",999.99
91,"Electric Standing Desk",699.99
92,"Smart Indoor Garden",159.99
93,"Professional DSLR Camera",1999.99
94,"Digital Drawing Tablet",249.99
95,"Wireless Smart Glasses",299.99
96,"USB-C to HDMI Adapter",19.99
97,"Drone with 4K Camera",1299.99
98,"Outdoor Camping Solar Generator",699.99
99,"Bluetooth Car Adapter",34.99
100,"Portable Espresso Machine",119.99